ID_inmersion,Profundidad_maxima_m,Tiempo_fondo_min,Temperatura_agua_C,Consumo_aire_bar,Ritmo_cardiaco_bpm,Nivel_experiencia,Condiciones_mar,Tipo_gas,Paradas_seguridad,Ascenso_controlado,Inmersion_segura
1,32.0,61.9,13.1,199.3,71.2,Intermedio,Calmado,Aire,Sí,Sí,No
2,24.4,78.3,14.2,156.9,73.7,Principiante,Calmado,Aire,Sí,Sí,No
3,17.2,29.8,15.8,70.6,79.1,Principiante,Calmado,Aire,Sí,Sí,Sí
4,25.2,31.9,11.3,82.8,99.3,Intermedio,Agitado,Aire,Sí,Sí,Sí
5,13.1,54.7,10.7,84.0,85.2,Intermedio,Agitado,Nitrox,Sí,Sí,Sí
6,34.2,74.3,28.8,260.8,82.0,Intermedio,Moderado,Aire,Sí,Sí,No
7,11.5,47.2,15.4,57.7,77.1,Principiante,Moderado,Aire,Sí,Sí,Sí
8,44.6,74.1,14.0,236.2,76.3,Avanzado,Calmado,Trimix,Sí,Sí,No
9,12.2,28.1,27.3,27.3,76.6,Principiante,Moderado,Aire,Sí,Sí,Sí
10,41.6,53.1,12.4,143.0,75.2,Avanzado,Moderado,Trimix,Sí,Sí,Sí
11,10.6,27.6,10.6,33.4,76.3,Intermedio,Moderado,Aire,No,Sí,Sí
12,16.9,25.4,15.8,50.4,88.6,Intermedio,Calmado,Nitrox,Sí,No,No
13,41.8,57.8,26.1,98.8,66.4,Avanzado,Moderado,Trimix,Sí,Sí,Sí
14,15.3,55.8,18.3,60.3,62.4,Avanzado,Calmado,Aire,No,Sí,Sí
15,20.9,88.0,29.2,131.5,79.9,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
16,11.3,39.5,28.2,48.6,72.9,Intermedio,Calmado,Aire,No,Sí,Sí
17,17.1,71.0,17.4,115.7,82.7,Intermedio,Moderado,Nitrox,Sí,Sí,Sí
18,11.0,61.4,23.6,57.6,80.2,Intermedio,Calmado,Aire,Sí,Sí,Sí
19,33.4,29.6,16.8,99.2,88.5,Intermedio,Calmado,Aire,Sí,Sí,Sí
20,30.9,36.9,11.9,83.4,78.0,Avanzado,Moderado,Aire,Sí,Sí,Sí
21,50.5,74.6,22.8,300.2,63.2,Avanzado,Calmado,Trimix,Sí,Sí,No
22,18.3,20.4,13.2,45.7,83.8,Principiante,Calmado,Aire,Sí,Sí,Sí
23,11.5,72.3,23.0,115.2,83.2,Principiante,Moderado,Aire,Sí,Sí,Sí
24,9.9,88.1,17.9,153.7,82.6,Principiante,Moderado,Aire,Sí,Sí,No
25,28.1,39.7,10.5,121.5,73.5,Intermedio,Moderado,Nitrox,No,No,No
